sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,15350636544,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
1000000000,0,15468077056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
1500000000,0,15541477376,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
2000000000,0,15786844160,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
2500000000,0,15954616320,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
3000000000,0,16046891008,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
3500000000,0,16195788800,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
4000000000,0,16376143872,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
4500000000,0,16504070144,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
5000000000,0,16636190720,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
5500000000,0,16724271104,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
6000000000,0,16984317952,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
6500000000,0,17116438528,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
7000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,256,0,0,0,0.000000,0,0.000000
7500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,35651584,35651584,0,0,0,0,0,255,1,0,0,1.000000,0,0.000760
8000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,37748736,37748736,0,0,0,0,0,255,1,0,0,1.000000,0,0.003386
8500000000,0,17179353088,17179869184,2097152,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,39845888,37748736,0,0,0,0,0,255,1,0,2097152,0.947368,0,0.006004
9000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,39845888,39845888,0,0,0,0,0,255,1,0,0,1.000000,0,0.008608
9500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,41943040,41943040,0,0,0,0,0,255,1,0,0,1.000000,0,0.011198
10000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,44040192,44040192,0,0,0,0,0,255,1,0,0,1.000000,0,0.013775
10500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,46137344,46137344,0,0,0,0,0,255,1,0,0,1.000000,0,0.016339
11000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,48234496,48234496,0,0,0,0,0,255,1,0,0,1.000000,0,0.018707
11500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,50331648,50331648,0,0,0,0,0,255,1,0,0,1.000000,0,0.021064
12000000000,0,17179353088,17179869184,2097152,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,52428800,50331648,0,0,0,0,0,255,1,0,2097152,0.960000,0,0.023590
12500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,52428800,52428800,0,0,0,0,0,255,1,0,0,1.000000,0,0.025924
13000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,54525952,54525952,0,0,0,0,0,255,1,0,0,1.000000,0,0.028247
13500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,56623104,56623104,0,0,0,0,0,255,1,0,0,1.000000,0,0.030558
14000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,58720256,58720256,0,0,0,0,0,255,1,0,0,1.000000,0,0.032859
14500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,60817408,0,0,0,0,0,255,1,0,0,1.000000,0,0.035148
15000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60817408,60817408,0,0,0,0,0,255,1,0,0,1.000000,0,0.037427
15500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,62914560,62914560,0,0,0,0,0,255,1,0,0,1.000000,0,0.039695
16000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,65011712,65011712,0,0,0,0,0,255,1,0,0,1.000000,0,0.041780
16500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,67108864,67108864,0,0,0,0,0,255,1,0,0,1.000000,0,0.044027
17000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,69206016,69206016,0,0,0,0,0,255,1,0,0,1.000000,0,0.046265
17500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,69206016,69206016,0,0,0,0,0,255,1,0,0,1.000000,0,0.048320
18000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,71303168,71303168,0,0,0,0,0,255,1,0,0,1.000000,0,0.050538
18500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,73400320,73400320,0,0,0,0,0,255,1,0,0,1.000000,0,0.052575
19000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,75497472,0,0,0,0,0,255,1,0,0,1.000000,0,0.054604
19500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75497472,75497472,0,0,0,0,0,255,1,0,0,1.000000,0,0.056792
20000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,77594624,77594624,0,0,0,0,0,255,1,0,0,1.000000,0,0.058803
20500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,79691776,79691776,0,0,0,0,0,255,1,0,0,1.000000,0,0.060805
21000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,79691776,79691776,0,0,0,0,0,255,0,0,0,1.000000,0,0.062191
21500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,117440512,117440512,0,0,0,0,0,254,1,0,0,1.000000,0,0.060950
22000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,117440512,117440512,0,0,0,0,0,254,1,0,0,1.000000,0,0.060990
22500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,155189248,155189248,0,0,0,0,0,253,1,1,0,1.000000,0,0.060326
23000000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,192937984,192937984,0,0,0,0,0,252,1,2,0,1.000000,0,0.059981
23500000000,0,17179353088,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,232783872,232783872,0,0,0,0,0,251,2,2,0,1.000000,0,0.058719
