sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16119242752,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16238780416,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16318472192,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16561741824,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16733708288,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16851148800,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17016823808,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17178304512,17179869184,0,137438953472,0,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17163624448,17179869184,0,137438953472,29360128,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,29360128,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17163624448,17179869184,0,137438953472,48234496,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,48234496,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,0,137438953472,48234496,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,48234496,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17169915904,17179869184,0,137438953472,71303168,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,71303168,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,0,137438953472,71303168,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,71303168,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17167818752,17179869184,0,137438953472,96468992,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,96468992,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17161527296,17179869184,0,137438953472,123731968,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,123731968,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17176207360,17179869184,0,137438953472,123731968,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,123731968,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17163624448,17179869184,0,137438953472,150994944,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,150994944,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,0,137438953472,150994944,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,150994944,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,0,137438953472,176160768,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,176160768,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17132167168,17179869184,0,137438953472,230686720,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17140555776,17179869184,0,137438953472,230686720,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17148944384,17179869184,0,137438953472,230686720,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17157332992,17179869184,0,137438953472,230686720,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17174110208,17179869184,0,137438953472,230686720,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17178304512,17179869184,0,137438953472,230686720,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,230686720,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17165721600,17179869184,0,137438953472,251658240,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,251658240,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17174110208,17179869184,0,137438953472,251658240,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,251658240,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17159430144,17179869184,0,137438953472,197132288,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,251658240,54525952,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17178304512,17179869184,0,137438953472,113246208,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,251658240,138412032,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17178304512,17179869184,0,137438953472,132120576,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,270532608,138412032,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17100709888,17179869184,0,137438953472,211812352,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,350224384,138412032,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17178304512,17179869184,0,137438953472,81788928,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,350224384,268435456,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17178304512,17179869184,0,137438953472,106954752,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,375390208,268435456,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17178304512,17179869184,0,137438953472,88080384,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,404750336,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17161527296,17179869184,0,137438953472,115343360,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,432013312,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17169915904,17179869184,0,137438953472,138412032,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,455081984,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17178304512,17179869184,0,137438953472,157286400,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,473956352,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17142652928,17179869184,0,137438953472,201326592,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,517996544,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17159430144,17179869184,0,137438953472,201326592,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,517996544,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17167818752,17179869184,0,137438953472,201326592,2199023255552,0,0,0,0,0,0,0,0,0.00,0,0,0,0,517996544,316669952,0,0,0,0,0,0,0,0.000000,0,0.000000
